,Date,Age,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc
63,1992-03-14,29.0,W,11.0,22.0,0.5,0.0,1.0,4.0,4.0,10.0,9.0,5.0,0.0,3.0,26.0,26.3
64,1992-03-16,29.0,W,15.0,27.0,0.556,0.0,2.0,7.0,7.0,9.0,13.0,0.0,1.0,3.0,37.0,34.0
65,1992-03-17,29.0,W,16.0,32.0,0.5,0.0,0.0,8.0,12.0,10.0,4.0,2.0,2.0,1.0,40.0,31.0
66,1992-03-19,29.0,W,19.0,30.0,0.633,1.0,1.0,12.0,15.0,11.0,3.0,1.0,1.0,0.0,51.0,43.1
67,1992-03-21,29.0,L,10.0,22.0,0.455,0.0,0.0,5.0,7.0,15.0,4.0,2.0,1.0,3.0,25.0,21.8
68,1992-03-24,29.0,W,18.0,31.0,0.581,2.0,3.0,12.0,13.0,6.0,6.0,3.0,0.0,3.0,50.0,41.1
69,1992-03-28,29.0,W,21.0,32.0,0.6559999999999999,0.0,1.0,2.0,2.0,4.0,6.0,3.0,0.0,1.0,44.0,36.6
70,1992-03-31,29.0,W,13.0,23.0,0.565,0.0,1.0,10.0,12.0,4.0,3.0,3.0,1.0,3.0,36.0,29.1
71,1992-04-01,29.0,W,11.0,22.0,0.5,1.0,3.0,8.0,10.0,2.0,5.0,3.0,0.0,2.0,31.0,23.9
72,1992-04-03,29.0,W,5.0,17.0,0.294,0.0,2.0,5.0,6.0,6.0,7.0,2.0,0.0,5.0,15.0,6.8
73,1992-04-05,29.0,L,12.0,28.0,0.429,0.0,3.0,2.0,2.0,2.0,2.0,3.0,0.0,3.0,26.0,11.6
74,1992-04-07,29.0,W,12.0,22.0,0.545,2.0,5.0,4.0,4.0,5.0,7.0,6.0,1.0,3.0,30.0,28.3
75,1992-04-10,29.0,W,16.0,30.0,0.5329999999999999,1.0,1.0,2.0,4.0,4.0,6.0,4.0,0.0,1.0,35.0,26.8
76,1992-04-11,29.0,W,8.0,20.0,0.4,0.0,0.0,7.0,7.0,5.0,8.0,5.0,1.0,1.0,23.0,23.6
77,1992-04-13,29.0,W,6.0,12.0,0.5,0.0,1.0,0.0,0.0,1.0,7.0,3.0,1.0,2.0,12.0,12.5
78,1992-04-17,29.0,W,9.0,16.0,0.563,0.0,0.0,3.0,4.0,4.0,8.0,0.0,0.0,5.0,21.0,13.6
79,1992-04-19,29.0,W,9.0,17.0,0.529,0.0,0.0,14.0,15.0,2.0,7.0,2.0,1.0,7.0,32.0,23.7
80,1985-10-25,22.0,W,13.0,26.0,0.5,0.0,0.0,3.0,4.0,6.0,3.0,3.0,0.0,3.0,29.0,18.7
81,1985-10-26,22.0,W,9.0,24.0,0.375,0.0,0.0,15.0,16.0,7.0,6.0,2.0,3.0,6.0,33.0,22.6
82,1985-10-29,22.0,W,6.0,10.0,0.6,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,12.0,8.0
83,1986-03-15,23.0,L,4.0,7.0,0.5710000000000001,0.0,0.0,4.0,7.0,1.0,2.0,1.0,0.0,1.0,12.0,8.4
84,1986-03-17,23.0,L,4.0,16.0,0.25,0.0,1.0,9.0,10.0,4.0,1.0,7.0,1.0,1.0,17.0,16.8
85,1986-03-19,23.0,L,4.0,14.0,0.28600000000000003,0.0,2.0,4.0,6.0,4.0,3.0,2.0,2.0,1.0,12.0,9.9
86,1986-03-21,23.0,L,7.0,16.0,0.43799999999999994,0.0,1.0,6.0,7.0,2.0,1.0,0.0,1.0,1.0,20.0,11.8
87,1986-03-22,23.0,L,4.0,13.0,0.308,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,8.0,-0.3
88,1986-03-25,23.0,W,5.0,12.0,0.41700000000000004,0.0,1.0,9.0,9.0,3.0,3.0,1.0,0.0,2.0,19.0,13.8
89,1986-03-28,23.0,L,9.0,15.0,0.6,0.0,0.0,4.0,6.0,1.0,3.0,5.0,0.0,3.0,22.0,17.1
90,1986-03-29,23.0,W,10.0,17.0,0.588,0.0,1.0,4.0,6.0,1.0,1.0,1.0,3.0,4.0,24.0,15.0
91,1986-04-01,23.0,L,8.0,16.0,0.5,0.0,1.0,12.0,12.0,5.0,2.0,1.0,3.0,1.0,28.0,24.6
92,1986-04-03,23.0,W,12.0,19.0,0.632,0.0,0.0,2.0,4.0,5.0,3.0,3.0,2.0,3.0,26.0,21.7
93,1986-04-05,23.0,W,10.0,21.0,0.47600000000000003,2.0,3.0,8.0,9.0,3.0,3.0,1.0,1.0,4.0,30.0,19.6
94,1986-04-07,23.0,W,10.0,18.0,0.556,1.0,3.0,5.0,5.0,5.0,7.0,1.0,3.0,2.0,26.0,24.1
95,1986-04-08,23.0,L,12.0,25.0,0.48,0.0,2.0,6.0,6.0,6.0,6.0,2.0,1.0,7.0,30.0,18.6
96,1986-04-11,23.0,W,12.0,36.0,0.33299999999999996,0.0,1.0,7.0,10.0,5.0,2.0,3.0,1.0,2.0,31.0,12.4
97,1986-04-13,23.0,L,11.0,23.0,0.478,0.0,2.0,7.0,7.0,3.0,4.0,4.0,0.0,2.0,29.0,21.4
98,1986-11-01,23.0,W,15.0,31.0,0.484,0.0,0.0,20.0,22.0,6.0,3.0,4.0,3.0,6.0,50.0,37.5
99,1986-11-02,23.0,W,16.0,31.0,0.516,0.0,0.0,9.0,12.0,8.0,2.0,0.0,4.0,3.0,41.0,29.3
100,1986-11-04,23.0,W,14.0,31.0,0.452,0.0,1.0,6.0,13.0,8.0,5.0,4.0,2.0,6.0,34.0,20.8
101,1986-11-07,23.0,L,11.0,26.0,0.423,0.0,1.0,11.0,15.0,0.0,5.0,1.0,1.0,3.0,33.0,18.2
102,1986-11-08,23.0,W,17.0,27.0,0.63,0.0,0.0,5.0,5.0,6.0,3.0,5.0,0.0,3.0,39.0,33.2
103,1986-11-11,23.0,W,14.0,32.0,0.43799999999999994,0.0,0.0,6.0,6.0,5.0,3.0,1.0,3.0,5.0,34.0,18.9
104,1986-11-12,23.0,L,9.0,25.0,0.36,0.0,1.0,10.0,12.0,4.0,4.0,3.0,1.0,4.0,28.0,15.4
105,1986-11-14,23.0,L,17.0,33.0,0.515,1.0,1.0,13.0,14.0,5.0,1.0,2.0,1.0,0.0,48.0,35.8
106,1986-11-21,23.0,W,14.0,26.0,0.5379999999999999,0.0,0.0,12.0,15.0,6.0,4.0,3.0,2.0,2.0,40.0,32.8
107,1986-11-22,23.0,W,10.0,26.0,0.385,0.0,0.0,2.0,3.0,9.0,4.0,3.0,1.0,3.0,22.0,13.2
108,1986-11-26,23.0,L,13.0,31.0,0.419,0.0,0.0,11.0,14.0,9.0,3.0,1.0,3.0,2.0,37.0,24.0
109,1986-11-28,23.0,L,19.0,43.0,0.442,0.0,1.0,3.0,4.0,10.0,3.0,1.0,1.0,3.0,41.0,23.5
110,1986-11-29,23.0,L,11.0,30.0,0.3670000000000001,0.0,1.0,18.0,19.0,5.0,6.0,4.0,0.0,2.0,40.0,30.7
111,1986-12-02,23.0,W,13.0,30.0,0.433,0.0,0.0,14.0,15.0,9.0,6.0,3.0,6.0,4.0,40.0,34.7
112,1986-12-03,23.0,L,17.0,33.0,0.515,0.0,2.0,11.0,13.0,3.0,3.0,6.0,1.0,2.0,45.0,34.4
113,1986-12-05,23.0,L,15.0,37.0,0.405,0.0,0.0,13.0,17.0,4.0,2.0,3.0,1.0,1.0,43.0,27.2
114,1986-12-06,23.0,L,18.0,38.0,0.474,0.0,2.0,7.0,7.0,5.0,3.0,1.0,1.0,2.0,43.0,27.3
115,1986-12-09,23.0,W,16.0,30.0,0.5329999999999999,0.0,0.0,8.0,9.0,6.0,6.0,3.0,4.0,3.0,40.0,33.4
116,1986-12-10,23.0,L,15.0,25.0,0.6,0.0,0.0,11.0,12.0,4.0,4.0,3.0,0.0,3.0,41.0,32.7
117,1986-12-12,23.0,W,16.0,24.0,0.667,0.0,0.0,9.0,11.0,5.0,3.0,2.0,0.0,2.0,41.0,31.4
118,1986-12-13,23.0,L,3.0,17.0,0.17600000000000002,0.0,0.0,5.0,8.0,4.0,2.0,0.0,1.0,2.0,11.0,-0.4
119,1986-12-16,23.0,W,13.0,29.0,0.44799999999999995,0.0,1.0,15.0,18.0,5.0,1.0,0.0,0.0,4.0,41.0,21.7
