,Rk,G,1985 Playoffs,Series,Tm, ,Opp,G#, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
119,99,7,1993-05-17,ECS,CHI,@,CLE,4,W (+2),1,40:00,11,24,.458,2,2,1.000,7,9,.778,3,6,9,6,2,1,4,2,31,23.8
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,100,8,1993-05-23,ECF,CHI,@,NYK,1,L (-8),1,43:00,10,27,.370,2,4,.500,5,6,.833,1,1,2,5,4,0,1,5,27,17.2
122,101,9,1993-05-25,ECF,CHI,@,NYK,2,L (-5),1,39:00,12,32,.375,1,7,.143,11,13,.846,3,6,9,1,2,0,3,3,36,20.0
123,102,10,1993-05-29,ECF,CHI,,NYK,3,W (+20),1,38:00,3,18,.167,0,0,,16,17,.941,1,7,8,11,2,2,2,1,22,21.7
124,103,11,1993-05-31,ECF,CHI,,NYK,4,W (+10),1,39:00,18,30,.600,6,9,.667,12,14,.857,0,6,6,2,2,1,2,5,54,41.3
125,104,12,1993-06-02,ECF,CHI,@,NYK,5,W (+3),1,45:00,11,24,.458,0,1,.000,7,9,.778,2,8,10,14,2,1,5,2,29,26.3
126,105,13,1993-06-04,ECF,CHI,,NYK,6,W (+8),1,45:00,8,24,.333,1,4,.250,8,9,.889,0,2,2,9,3,2,1,4,25,19.7
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,106,14,1993-06-09,FIN,CHI,@,PHO,1,W (+8),1,43:00,14,28,.500,0,1,.000,3,4,.750,2,5,7,5,5,1,2,2,31,25.9
129,107,15,1993-06-11,FIN,CHI,@,PHO,2,W (+3),1,40:00,18,36,.500,2,2,1.000,4,5,.800,5,7,12,9,2,0,5,2,42,31.7
130,108,16,1993-06-13,FIN,CHI,,PHO,3,L (-8),1,57:00,19,43,.442,3,9,.333,3,6,.500,3,6,9,6,2,1,3,5,44,26.1
131,109,17,1993-06-16,FIN,CHI,,PHO,4,W (+6),1,46:00,21,37,.568,0,1,.000,13,18,.722,1,7,8,4,0,0,1,3,55,38.9
132,110,18,1993-06-18,FIN,CHI,,PHO,5,L (-10),1,44:00,16,29,.552,2,7,.286,7,10,.700,1,6,7,7,0,2,2,5,41,30.7
133,111,19,1993-06-20,FIN,CHI,@,PHO,6,W (+1),1,44:00,13,26,.500,3,5,.600,4,6,.667,3,5,8,7,1,0,3,3,33,24.5
134,Rk,G,1995 Playoffs,Series,Tm, ,Opp,G#, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
135,112,1,1995-04-28,EC1,CHI,@,CHH,1,W (+8),1,47:00,18,32,.563,1,4,.250,11,11,1.000,1,8,9,8,1,1,3,1,48,39.8
136,113,2,1995-04-30,EC1,CHI,@,CHH,2,L (-17),1,40:00,13,25,.520,3,6,.500,3,6,.500,3,4,7,7,0,0,5,5,32,19.7
137,114,3,1995-05-02,EC1,CHI,,CHH,3,W (+23),1,38:00,9,19,.474,1,2,.500,6,7,.857,2,4,6,3,4,2,6,3,25,17.8
138,115,4,1995-05-04,EC1,CHI,,CHH,4,W (+1),1,41:00,8,21,.381,3,5,.600,5,6,.833,1,3,4,5,3,0,3,4,24,15.6
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,116,5,1995-05-07,ECS,CHI,@,ORL,1,L (-3),1,40:00,8,22,.364,0,2,.000,3,5,.600,2,3,5,3,1,0,8,2,19,2.6
141,117,6,1995-05-10,ECS,CHI,@,ORL,2,W (+10),1,43:00,17,30,.567,1,1,1.000,3,8,.375,3,4,7,3,4,4,2,4,38,30.4
142,118,7,1995-05-12,ECS,CHI,,ORL,3,L (-9),1,43:00,15,31,.484,0,3,.000,10,10,1.000,4,3,7,4,0,1,4,3,40,26.3
143,119,8,1995-05-14,ECS,CHI,,ORL,4,W (+11),1,44:00,9,21,.429,0,1,.000,8,8,1.000,2,5,7,3,4,0,4,2,26,19.1
144,120,9,1995-05-16,ECS,CHI,@,ORL,5,L (-8),1,45:00,15,28,.536,1,4,.250,8,8,1.000,0,4,4,2,2,2,0,1,39,31.0
145,121,10,1995-05-18,ECS,CHI,,ORL,6,L (-6),1,39:00,8,19,.421,1,2,.500,7,10,.700,2,7,9,7,4,4,6,5,24,19.9
146,Rk,G,1996 Playoffs,Series,Tm, ,Opp,G#, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
147,122,1,1996-04-26,EC1,CHI,,MIA,1,W (+17),1,38:00,13,22,.591,0,1,.000,9,12,.750,2,2,4,2,1,1,4,5,35,22.7
148,123,2,1996-04-28,EC1,CHI,,MIA,2,W (+31),1,32:00,9,17,.529,2,3,.667,9,12,.750,0,4,4,4,1,0,0,0,29,24.5
149,124,3,1996-05-01,EC1,CHI,@,MIA,3,W (+21),1,33:00,10,23,.435,3,6,.500,3,3,1.000,1,2,3,2,3,0,0,0,26,19.6
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,125,4,1996-05-05,ECS,CHI,,NYK,1,W (+7),1,41:00,17,35,.486,1,5,.200,9,9,1.000,1,4,5,2,0,0,1,4,44,27.0
152,126,5,1996-05-07,ECS,CHI,,NYK,2,W (+11),1,40:00,11,25,.440,1,3,.333,5,5,1.000,3,2,5,5,3,0,2,0,28,22.1
153,127,6,1996-05-11,ECS,CHI,@,NYK,3,L (-3),1,51:00,17,35,.486,2,5,.400,10,13,.769,3,1,4,2,2,0,4,2,46,28.1
154,128,7,1996-05-12,ECS,CHI,@,NYK,4,W (+3),1,40:00,7,23,.304,2,7,.286,11,13,.846,2,6,8,8,2,1,0,5,27,22.4
155,129,8,1996-05-14,ECS,CHI,,NYK,5,W (+13),1,43:00,13,29,.448,1,2,.500,8,9,.889,1,1,2,5,2,0,2,5,35,22.0
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,130,9,1996-05-19,ECF,CHI,,ORL,1,W (+38),1,37:00,9,17,.529,1,2,.500,2,3,.667,2,5,7,4,2,0,3,3,21,15.8
158,131,10,1996-05-21,ECF,CHI,,ORL,2,W (+5),1,43:00,9,21,.429,2,4,.500,15,16,.938,1,4,5,6,4,1,2,2,35,31.5
159,132,11,1996-05-25,ECF,CHI,@,ORL,3,W (+19),1,39:00,5,14,.357,1,1,1.000,6,11,.545,3,4,7,4,2,1,2,1,17,13.6
160,133,12,1996-05-27,ECF,CHI,@,ORL,4,W (+5),1,44:00,16,23,.696,3,4,.750,10,14,.714,2,1,3,5,1,1,4,5,45,34.6
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,134,13,1996-06-05,FIN,CHI,,SEA,1,W (+17),1,41:00,9,18,.500,1,4,.250,9,10,.900,0,7,7,2,2,1,2,4,28,21.2
163,135,14,1996-06-07,FIN,CHI,,SEA,2,W (+4),1,43:00,9,22,.409,1,2,.500,10,16,.625,2,4,6,8,2,0,2,3,29,21.8
164,136,15,1996-06-09,FIN,CHI,@,SEA,3,W (+22),1,41:00,11,23,.478,3,4,.750,11,11,1.000,2,1,3,5,2,0,3,1,36,28.1
165,137,16,1996-06-12,FIN,CHI,@,SEA,4,L (-21),1,41:00,6,19,.316,0,2,.000,11,13,.846,1,2,3,2,1,0,4,3,23,9.8
166,138,17,1996-06-14,FIN,CHI,@,SEA,5,L (-11),1,43:00,11,22,.500,0,4,.000,4,5,.800,2,2,4,1,1,0,2,3,26,15.1
167,139,18,1996-06-16,FIN,CHI,,SEA,6,W (+12),1,43:00,5,19,.263,1,3,.333,11,12,.917,3,6,9,7,2,0,5,3,22,14.9
168,Rk,G,1997 Playoffs,Series,Tm, ,Opp,G#, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
169,140,1,1997-04-25,EC1,CHI,,WSB,1,W (+12),1,41:32,12,25,.480,0,1,.000,5,5,1.000,0,8,8,8,2,0,3,5,29,21.3
170,141,2,1997-04-27,EC1,CHI,,WSB,2,W (+5),1,44:13,22,35,.629,1,2,.500,10,10,1.000,3,4,7,2,2,0,2,3,55,42.8
171,142,3,1997-04-30,EC1,CHI,@,WSB,3,W (+1),1,42:37,14,24,.583,0,5,.000,0,0,,1,1,2,6,0,1,2,2,28,19.9
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
