,G,Date,Age,WL,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS,GmSc,+/-
368,29,1990-12-29,27,W,,10.0,24.0,0.417,0.0,2.0,0.0,11.0,11.0,1.0,10.0,4.0,4.0,0.0,2.0,31.0,26.4,
369,30,1991-01-03,27,L,,13.0,22.0,0.591,0.0,0.0,,6.0,7.0,0.857,3.0,7.0,3.0,1.0,4.0,32.0,26.1,
370,31,1991-01-05,27,W,,12.0,26.0,0.462,0.0,0.0,,6.0,7.0,0.857,3.0,4.0,4.0,3.0,3.0,30.0,21.8,
371,32,1991-01-08,27,W,,18.0,28.0,0.643,1.0,1.0,1.0,4.0,5.0,0.8,6.0,4.0,2.0,2.0,1.0,41.0,35.6,
372,33,1991-01-09,27,W,,16.0,27.0,0.593,0.0,1.0,0.0,8.0,11.0,0.727,4.0,9.0,0.0,1.0,1.0,40.0,32.3,
373,34,1991-01-11,27,W,,12.0,23.0,0.522,0.0,1.0,0.0,7.0,7.0,1.0,6.0,6.0,2.0,1.0,5.0,31.0,21.8,
374,35,1991-01-12,27,W,,11.0,21.0,0.524,0.0,0.0,,11.0,13.0,0.846,3.0,3.0,2.0,0.0,5.0,33.0,21.5,
375,36,1991-01-14,27,W,,13.0,27.0,0.481,1.0,3.0,0.333,7.0,7.0,1.0,10.0,9.0,3.0,2.0,2.0,34.0,30.4,
376,37,1991-01-16,27,W,,11.0,27.0,0.407,0.0,0.0,,7.0,8.0,0.875,4.0,4.0,3.0,1.0,2.0,29.0,17.8,
377,38,1991-01-18,27,L,,13.0,28.0,0.464,0.0,1.0,0.0,4.0,4.0,1.0,7.0,8.0,3.0,0.0,4.0,30.0,21.5,
378,39,1991-01-21,27,W,,17.0,28.0,0.607,0.0,2.0,0.0,3.0,5.0,0.6,6.0,5.0,3.0,1.0,3.0,37.0,29.4,
379,40,1991-01-23,27,L,,9.0,23.0,0.391,1.0,1.0,1.0,16.0,19.0,0.8420000000000001,6.0,5.0,4.0,0.0,2.0,35.0,28.6,
380,41,1991-01-25,27,W,,10.0,14.0,0.7140000000000001,3.0,3.0,1.0,3.0,4.0,0.75,3.0,2.0,6.0,0.0,3.0,26.0,24.3,
381,42,1991-01-31,27,L,,9.0,22.0,0.409,1.0,1.0,1.0,17.0,18.0,0.944,3.0,3.0,3.0,0.0,3.0,36.0,24.4,
382,43,1991-02-01,27,W,,10.0,18.0,0.556,0.0,0.0,,11.0,16.0,0.688,6.0,8.0,2.0,0.0,2.0,31.0,28.2,
383,44,1991-02-03,27,L,,10.0,22.0,0.455,0.0,0.0,,3.0,3.0,1.0,7.0,9.0,6.0,1.0,2.0,23.0,24.7,
384,45,1991-02-04,27,W,,7.0,14.0,0.5,0.0,0.0,,10.0,11.0,0.909,2.0,5.0,2.0,0.0,3.0,24.0,18.5,
385,46,1991-02-07,27,W,,10.0,21.0,0.476,0.0,2.0,0.0,10.0,12.0,0.833,9.0,3.0,0.0,2.0,2.0,30.0,22.7,
386,47,1991-02-12,27,W,,12.0,22.0,0.545,1.0,2.0,0.5,7.0,9.0,0.778,4.0,7.0,2.0,2.0,3.0,32.0,26.3,
387,48,1991-02-14,27,W,,13.0,20.0,0.65,1.0,2.0,0.5,2.0,2.0,1.0,2.0,3.0,2.0,3.0,0.0,29.0,26.2,
388,49,1991-02-16,27,W,,11.0,26.0,0.423,1.0,1.0,1.0,3.0,4.0,0.75,11.0,7.0,3.0,0.0,7.0,26.0,16.8,
389,50,1991-02-18,28,W,,11.0,24.0,0.458,0.0,1.0,0.0,10.0,11.0,0.909,6.0,5.0,5.0,2.0,3.0,32.0,27.1,
390,51,1991-02-19,28,W,,15.0,27.0,0.556,0.0,1.0,0.0,10.0,10.0,1.0,12.0,4.0,1.0,0.0,2.0,40.0,32.1,
391,52,1991-02-22,28,W,,11.0,17.0,0.647,1.0,1.0,1.0,11.0,11.0,1.0,3.0,4.0,6.0,0.0,0.0,34.0,35.8,
392,53,1991-02-23,28,W,,12.0,22.0,0.545,1.0,3.0,0.333,4.0,5.0,0.8,3.0,3.0,3.0,2.0,0.0,29.0,24.6,
393,54,1991-02-26,28,W,,17.0,29.0,0.586,1.0,1.0,1.0,4.0,8.0,0.5,8.0,4.0,5.0,3.0,0.0,39.0,36.6,
394,55,1991-03-01,28,W,,11.0,20.0,0.55,1.0,1.0,1.0,6.0,6.0,1.0,11.0,8.0,2.0,0.0,5.0,29.0,24.9,
395,56,1991-03-02,28,L,,8.0,23.0,0.348,0.0,1.0,0.0,6.0,6.0,1.0,5.0,2.0,6.0,0.0,3.0,22.0,13.4,
396,57,1991-03-05,28,W,,9.0,23.0,0.391,0.0,0.0,,12.0,13.0,0.923,9.0,2.0,2.0,1.0,5.0,30.0,18.5,
397,58,1991-03-08,28,W,,14.0,29.0,0.483,0.0,0.0,,9.0,10.0,0.9,5.0,2.0,3.0,0.0,1.0,37.0,26.0,
398,59,1991-03-10,28,W,,10.0,13.0,0.769,1.0,1.0,1.0,4.0,4.0,1.0,9.0,9.0,1.0,1.0,6.0,25.0,23.8,
399,60,1991-03-12,28,W,,7.0,15.0,0.467,1.0,5.0,0.2,5.0,5.0,1.0,5.0,10.0,1.0,0.0,1.0,20.0,20.8,
400,61,1991-03-13,28,W,,15.0,26.0,0.5770000000000001,0.0,1.0,0.0,9.0,14.0,0.643,8.0,4.0,3.0,2.0,1.0,39.0,32.2,
401,62,1991-03-15,28,W,,12.0,21.0,0.5710000000000001,0.0,1.0,0.0,10.0,12.0,0.833,5.0,8.0,2.0,1.0,4.0,34.0,28.3,
402,63,1991-03-16,28,W,,14.0,25.0,0.56,0.0,2.0,0.0,9.0,10.0,0.9,3.0,3.0,5.0,0.0,2.0,37.0,29.5,
403,64,1991-03-18,28,W,,11.0,19.0,0.579,2.0,3.0,0.667,7.0,7.0,1.0,6.0,2.0,0.0,1.0,3.0,31.0,22.2,
404,65,1991-03-20,28,W,,9.0,14.0,0.643,2.0,2.0,1.0,2.0,3.0,0.667,5.0,11.0,0.0,1.0,3.0,22.0,21.1,
405,66,1991-03-22,28,L,,8.0,23.0,0.348,0.0,2.0,0.0,4.0,5.0,0.8,5.0,5.0,2.0,1.0,4.0,20.0,8.8,
406,67,1991-03-23,28,W,,15.0,25.0,0.6,0.0,1.0,0.0,9.0,9.0,1.0,2.0,5.0,3.0,2.0,2.0,39.0,32.4,
407,68,1991-03-25,28,L,,15.0,25.0,0.6,0.0,2.0,0.0,4.0,7.0,0.5710000000000001,7.0,4.0,3.0,3.0,0.0,34.0,32.1,
408,69,1991-03-28,28,W,,16.0,26.0,0.615,0.0,0.0,,10.0,11.0,0.909,1.0,4.0,0.0,2.0,3.0,42.0,30.1,
409,70,1991-03-29,28,W,,7.0,17.0,0.412,1.0,2.0,0.5,5.0,5.0,1.0,5.0,5.0,2.0,1.0,1.0,20.0,16.8,
410,71,1991-03-31,28,L,,12.0,36.0,0.333,0.0,3.0,0.0,13.0,13.0,1.0,7.0,9.0,2.0,0.0,4.0,37.0,23.0,
411,72,1991-04-02,28,W,,17.0,26.0,0.654,0.0,0.0,,10.0,12.0,0.833,4.0,6.0,5.0,2.0,4.0,44.0,38.8,
412,73,1991-04-04,28,W,,15.0,30.0,0.5,0.0,1.0,0.0,4.0,5.0,0.8,8.0,4.0,3.0,0.0,2.0,34.0,25.2,
413,74,1991-04-05,28,L,,13.0,26.0,0.5,1.0,4.0,0.25,12.0,14.0,0.857,5.0,9.0,5.0,2.0,5.0,39.0,32.8,
414,75,1991-04-07,28,L,,16.0,27.0,0.593,0.0,0.0,,9.0,14.0,0.643,4.0,5.0,4.0,2.0,0.0,41.0,36.2,
415,76,1991-04-09,28,W,,10.0,18.0,0.556,1.0,3.0,0.333,7.0,8.0,0.875,6.0,8.0,1.0,0.0,0.0,28.0,27.4,
416,77,1991-04-10,28,W,,12.0,21.0,0.5710000000000001,0.0,0.0,,4.0,6.0,0.667,5.0,4.0,0.0,1.0,2.0,28.0,19.1,
417,78,1991-04-12,28,L,,13.0,24.0,0.542,1.0,2.0,0.5,13.0,15.0,0.867,8.0,4.0,0.0,1.0,3.0,40.0,29.7,
418,79,1991-04-15,28,W,,17.0,27.0,0.63,0.0,1.0,0.0,12.0,14.0,0.857,5.0,2.0,3.0,2.0,5.0,46.0,34.2,
419,80,1991-04-17,28,W,,9.0,20.0,0.45,0.0,2.0,0.0,8.0,9.0,0.889,5.0,5.0,3.0,0.0,2.0,26.0,21.2,
420,81,1991-04-19,28,W,,15.0,22.0,0.682,0.0,1.0,0.0,11.0,13.0,0.846,5.0,5.0,4.0,2.0,4.0,41.0,36.4,
421,82,1991-04-21,28,W,,6.0,15.0,0.4,0.0,2.0,0.0,6.0,6.0,1.0,3.0,1.0,2.0,0.0,2.0,18.0,11.5,
422,1,1989-11-03,26,W,,19.0,31.0,0.613,1.0,2.0,0.5,15.0,17.0,0.882,14.0,6.0,3.0,1.0,0.0,54.0,51.2,
423,2,1989-11-04,26,L,,10.0,18.0,0.556,0.0,3.0,0.0,4.0,6.0,0.667,5.0,6.0,5.0,1.0,4.0,24.0,20.0,
424,3,1989-11-07,26,W,,13.0,24.0,0.542,0.0,2.0,0.0,14.0,17.0,0.8240000000000001,5.0,7.0,3.0,0.0,4.0,40.0,33.0,
425,4,1989-11-08,26,W,,15.0,24.0,0.625,1.0,1.0,1.0,14.0,14.0,1.0,6.0,2.0,2.0,0.0,3.0,45.0,36.0,
426,5,1989-11-10,26,L,,8.0,22.0,0.364,0.0,0.0,,10.0,11.0,0.909,6.0,5.0,2.0,0.0,2.0,26.0,18.3,
427,6,1989-11-11,26,W,,8.0,15.0,0.5329999999999999,1.0,2.0,0.5,8.0,9.0,0.889,4.0,6.0,3.0,1.0,4.0,25.0,20.8,
428,7,1989-11-14,26,W,,11.0,25.0,0.44,1.0,1.0,1.0,4.0,8.0,0.5,13.0,7.0,2.0,0.0,4.0,27.0,20.7,
429,8,1989-11-15,26,L,,12.0,26.0,0.462,0.0,3.0,0.0,16.0,19.0,0.8420000000000001,10.0,3.0,1.0,0.0,2.0,40.0,28.7,
430,9,1989-11-18,26,L,,12.0,26.0,0.462,3.0,8.0,0.375,5.0,7.0,0.7140000000000001,6.0,7.0,1.0,0.0,2.0,32.0,23.5,
431,10,1989-11-21,26,L,,5.0,13.0,0.385,1.0,3.0,0.333,5.0,6.0,0.833,0.0,7.0,2.0,0.0,4.0,16.0,11.0,
432,11,1989-11-22,26,W,,12.0,30.0,0.4,1.0,3.0,0.333,9.0,10.0,0.9,7.0,7.0,2.0,0.0,2.0,34.0,24.4,
433,12,1989-11-25,26,W,,12.0,29.0,0.414,1.0,5.0,0.2,4.0,5.0,0.8,14.0,9.0,3.0,0.0,3.0,29.0,24.8,
434,13,1989-11-26,26,L,,9.0,18.0,0.5,1.0,2.0,0.5,7.0,10.0,0.7,7.0,4.0,2.0,2.0,7.0,26.0,17.1,
435,14,1989-11-28,26,W,,8.0,15.0,0.5329999999999999,0.0,0.0,,6.0,6.0,1.0,9.0,13.0,3.0,0.0,4.0,22.0,23.9,
436,15,1989-12-02,26,W,,11.0,16.0,0.688,0.0,0.0,,14.0,15.0,0.933,5.0,7.0,0.0,1.0,5.0,36.0,30.1,
