,Date,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc,+/-
99,2011-05-24,W,11.0,26.0,0.423,0.0,1.0,13.0,13.0,6.0,6.0,2.0,2.0,5.0,35.0,24.8,-1.0
100,2011-05-26,W,8.0,19.0,0.42100000000000004,3.0,6.0,9.0,11.0,11.0,6.0,3.0,2.0,4.0,28.0,24.2,8.0
102,2011-05-31,W,9.0,16.0,0.563,4.0,5.0,2.0,2.0,9.0,5.0,1.0,0.0,1.0,24.0,21.0,9.0
103,2011-06-02,L,8.0,15.0,0.5329999999999999,2.0,7.0,2.0,4.0,8.0,4.0,4.0,1.0,5.0,20.0,15.6,-5.0
104,2011-06-05,W,6.0,14.0,0.429,1.0,4.0,4.0,4.0,3.0,9.0,2.0,0.0,4.0,17.0,13.6,1.0
105,2011-06-07,L,3.0,11.0,0.273,0.0,3.0,2.0,4.0,9.0,7.0,2.0,0.0,4.0,8.0,5.9,-6.0
106,2011-06-09,L,8.0,19.0,0.42100000000000004,0.0,4.0,1.0,2.0,10.0,10.0,0.0,1.0,4.0,17.0,12.4,-11.0
107,2011-06-12,L,9.0,15.0,0.6,2.0,5.0,1.0,4.0,4.0,6.0,1.0,1.0,6.0,21.0,13.6,-24.0
109,2012-04-28,W,10.0,14.0,0.7140000000000001,1.0,1.0,11.0,14.0,4.0,3.0,4.0,0.0,2.0,32.0,29.9,35.0
110,2012-04-30,W,8.0,18.0,0.444,0.0,3.0,3.0,7.0,7.0,9.0,2.0,0.0,2.0,19.0,16.4,10.0
111,2012-05-03,W,9.0,21.0,0.429,2.0,5.0,12.0,13.0,8.0,5.0,2.0,0.0,8.0,32.0,19.2,23.0
112,2012-05-06,L,9.0,21.0,0.429,2.0,5.0,7.0,8.0,4.0,4.0,1.0,0.0,5.0,27.0,13.9,-7.0
113,2012-05-09,W,7.0,16.0,0.43799999999999994,2.0,6.0,13.0,15.0,8.0,7.0,2.0,1.0,4.0,29.0,25.4,6.0
115,2012-05-13,W,12.0,26.0,0.462,0.0,3.0,8.0,10.0,15.0,5.0,2.0,1.0,1.0,32.0,29.5,12.0
116,2012-05-15,L,10.0,22.0,0.455,0.0,4.0,8.0,13.0,9.0,5.0,6.0,0.0,2.0,28.0,26.4,-7.0
117,2012-05-17,L,10.0,22.0,0.455,1.0,4.0,1.0,3.0,7.0,3.0,2.0,0.0,4.0,22.0,12.0,-9.0
118,2012-05-20,W,14.0,27.0,0.519,0.0,0.0,12.0,16.0,18.0,9.0,2.0,2.0,5.0,40.0,37.2,4.0
