,Unnamed: 0,Date,Age,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc
733,733,2003-02-04,39.0,W,13.0,26.0,0.5,0.0,0.0,1.0,1.0,4.0,8.0,4.0,1.0,2.0,27.0,22.3
734,734,2003-02-11,39.0,L,5.0,19.0,0.263,0.0,0.0,2.0,2.0,7.0,2.0,0.0,0.0,1.0,12.0,4.0
735,735,2003-02-12,39.0,W,8.0,24.0,0.333,0.0,0.0,7.0,9.0,6.0,12.0,2.0,1.0,2.0,23.0,17.9
736,736,2003-02-14,39.0,L,3.0,12.0,0.25,0.0,0.0,5.0,5.0,2.0,3.0,0.0,0.0,2.0,11.0,4.9
737,737,2003-02-19,40.0,L,8.0,23.0,0.348,0.0,0.0,4.0,6.0,6.0,2.0,0.0,2.0,3.0,20.0,9.1
738,738,2003-02-21,40.0,W,18.0,30.0,0.6,0.0,0.0,7.0,8.0,10.0,3.0,4.0,1.0,1.0,43.0,36.8
739,739,2003-02-23,40.0,L,14.0,26.0,0.5379999999999999,0.0,0.0,2.0,2.0,9.0,3.0,2.0,1.0,6.0,30.0,18.5
740,740,2003-02-25,40.0,W,11.0,25.0,0.44,0.0,0.0,3.0,4.0,6.0,3.0,1.0,0.0,1.0,25.0,14.6
741,741,2003-02-27,40.0,W,15.0,26.0,0.5770000000000001,0.0,0.0,5.0,7.0,11.0,6.0,0.0,0.0,3.0,35.0,25.3
742,742,2003-03-01,40.0,W,7.0,18.0,0.389,0.0,2.0,3.0,4.0,8.0,8.0,0.0,0.0,2.0,17.0,12.0
743,743,2003-03-02,40.0,L,9.0,27.0,0.333,0.0,1.0,3.0,3.0,8.0,2.0,1.0,3.0,0.0,21.0,12.2
744,744,2003-03-04,40.0,L,2.0,5.0,0.4,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,4.0,0.6
