,Date,WL,FG,FGA,FG%,3P,3PA,FT,FTA,TRB,AST,STL,BLK,TOV,PTS,GmSc
83,1991-06-12,W,12.0,23.0,0.522,0.0,0.0,6.0,8.0,4.0,10.0,5.0,2.0,6.0,30.0,26.1
85,1992-04-24,W,21.0,34.0,0.618,0.0,0.0,4.0,4.0,11.0,9.0,3.0,1.0,5.0,46.0,37.7
86,1992-04-26,W,12.0,23.0,0.522,0.0,0.0,9.0,10.0,13.0,6.0,2.0,0.0,4.0,33.0,27.8
87,1992-04-29,W,20.0,30.0,0.667,0.0,0.0,16.0,18.0,5.0,5.0,4.0,2.0,2.0,56.0,49.8
89,1992-05-05,L,12.0,23.0,0.522,0.0,0.0,7.0,8.0,6.0,3.0,1.0,3.0,2.0,31.0,23.1
90,1992-05-07,W,12.0,24.0,0.5,0.0,0.0,3.0,8.0,6.0,5.0,3.0,0.0,2.0,27.0,18.9
91,1992-05-09,W,12.0,24.0,0.5,1.0,3.0,7.0,10.0,9.0,3.0,3.0,1.0,6.0,32.0,20.9
92,1992-05-10,L,12.0,26.0,0.462,0.0,2.0,5.0,6.0,4.0,4.0,0.0,0.0,0.0,29.0,19.6
93,1992-05-12,W,11.0,23.0,0.478,0.0,0.0,15.0,17.0,5.0,3.0,1.0,0.0,4.0,37.0,24.7
94,1992-05-14,L,9.0,25.0,0.36,1.0,5.0,2.0,4.0,4.0,8.0,0.0,1.0,7.0,21.0,6.8
95,1992-05-17,W,15.0,29.0,0.517,0.0,0.0,12.0,13.0,6.0,4.0,2.0,3.0,5.0,42.0,31.0
97,1992-05-19,W,15.0,29.0,0.517,1.0,2.0,2.0,2.0,6.0,7.0,2.0,1.0,1.0,33.0,27.5
98,1992-05-21,L,7.0,22.0,0.318,0.0,0.0,6.0,7.0,11.0,3.0,3.0,2.0,6.0,20.0,12.8
99,1992-05-23,W,13.0,27.0,0.48100000000000004,1.0,1.0,9.0,10.0,6.0,9.0,1.0,0.0,5.0,36.0,26.0
100,1992-05-25,L,15.0,33.0,0.455,1.0,3.0,4.0,5.0,5.0,6.0,3.0,0.0,5.0,35.0,20.8
101,1992-05-27,W,13.0,28.0,0.46399999999999997,0.0,0.0,11.0,12.0,3.0,5.0,4.0,0.0,0.0,37.0,29.0
102,1992-05-29,W,10.0,27.0,0.37,0.0,0.0,9.0,9.0,8.0,8.0,2.0,0.0,3.0,29.0,20.3
104,1992-06-03,W,16.0,27.0,0.593,6.0,10.0,1.0,1.0,3.0,11.0,2.0,0.0,1.0,39.0,36.9
105,1992-06-05,L,16.0,32.0,0.5,0.0,4.0,7.0,9.0,5.0,10.0,1.0,0.0,5.0,39.0,25.1
106,1992-06-07,W,11.0,22.0,0.5,0.0,1.0,4.0,4.0,7.0,4.0,3.0,0.0,5.0,26.0,17.1
107,1992-06-10,L,11.0,26.0,0.423,2.0,6.0,8.0,8.0,5.0,6.0,0.0,0.0,5.0,32.0,17.3
108,1992-06-12,W,14.0,23.0,0.609,2.0,4.0,16.0,19.0,5.0,4.0,0.0,1.0,4.0,46.0,33.3
109,1992-06-14,W,13.0,24.0,0.542,2.0,3.0,5.0,5.0,4.0,4.0,4.0,1.0,4.0,33.0,25.3
111,1993-04-30,W,15.0,26.0,0.5770000000000001,2.0,4.0,3.0,4.0,7.0,5.0,0.0,0.0,0.0,35.0,28.0
112,1993-05-02,W,10.0,24.0,0.41700000000000004,2.0,4.0,7.0,8.0,6.0,4.0,3.0,4.0,0.0,29.0,24.2
113,1993-05-04,W,16.0,28.0,0.5710000000000001,2.0,5.0,5.0,5.0,7.0,4.0,2.0,1.0,4.0,39.0,27.8
115,1993-05-11,W,16.0,30.0,0.5329999999999999,0.0,4.0,11.0,11.0,0.0,4.0,3.0,1.0,3.0,43.0,30.7
116,1993-05-13,W,8.0,18.0,0.444,0.0,2.0,2.0,5.0,5.0,6.0,2.0,0.0,2.0,18.0,13.9
117,1993-05-15,W,12.0,24.0,0.5,0.0,1.0,8.0,10.0,6.0,5.0,2.0,0.0,2.0,32.0,24.9
118,1993-05-17,W,11.0,24.0,0.45799999999999996,2.0,2.0,7.0,9.0,9.0,6.0,2.0,1.0,4.0,31.0,23.8
120,1993-05-23,L,10.0,27.0,0.37,2.0,4.0,5.0,6.0,2.0,5.0,4.0,0.0,1.0,27.0,17.2
121,1993-05-25,L,12.0,32.0,0.375,1.0,7.0,11.0,13.0,9.0,1.0,2.0,0.0,3.0,36.0,20.0
122,1993-05-29,W,3.0,18.0,0.16699999999999998,0.0,0.0,16.0,17.0,8.0,11.0,2.0,2.0,2.0,22.0,21.7
123,1993-05-31,W,18.0,30.0,0.6,6.0,9.0,12.0,14.0,6.0,2.0,2.0,1.0,2.0,54.0,41.3
